Global rate table @ 0x20217CE0 (DRAM base 0x20200000, file offset 0x17CE0)
57 entries x 6 bytes: {u8 idx, u8 hw_code, u8 mode, u8 nss, u16 mbps}
  #  idx  code  mode  nss   Mbps  note
  0    0 0x20     0    1      1  CCK/DSSS
  1    1 0xdf     7    1      2  HE-v7
  2    2 0x21     0    1      2  CCK/DSSS
  3    3 0x10     0    1      2  CCK/DSSS
  4    4 0xdc     7    1      4  HE-v7
  5    5 0xec     5    1      4  HE-v5
  6    6 0xcf     6    1      4  HE-v6
  7    7 0x22     0    1      5  CCK/DSSS
  8    8 0x11     0    1      5  CCK/DSSS
  9    9 0x30     1    1      6  OFDM   <-- THE LATCHED RATE (6 Mbit/s)
 10   10 0x60     2    1      6  HT
 11   11 0x40     2    1      7  HT
 12   12 0x80     3    1      7  VHT
 13   13 0x31     1    1      9  OFDM
 14   14 0xdd     7    1      9  HE-v7
 15   15 0xed     5    1      9  HE-v5
 16   16 0xcc     6    1      9  HE-v6
 17   17 0xc0     4    1      9  HE
 18   18 0x23     0    1     11  CCK/DSSS
 19   19 0x12     0    1     11  CCK/DSSS
 20   20 0x32     1    1     12  OFDM
 21   21 0x41     2    1     13  HT
 22   22 0x81     3    1     13  VHT
 23   23 0xee     5    1     17  HE-v5
 24   24 0xcd     6    1     17  HE-v6
 25   25 0xc1     4    1     17  HE
 26   26 0x33     1    1     18  OFDM
 27   27 0x42     2    1     19  HT
 28   28 0x82     3    1     19  VHT
 29   29 0x34     1    1     24  OFDM
 30   30 0x43     2    1     26  HT
 31   31 0x83     3    1     26  VHT
 32   32 0xef     5    1     26  HE-v5
 33   33 0xce     6    1     26  HE-v6
 34   34 0xc2     4    1     26  HE
 35   35 0xc3     4    1     34  HE
 36   36 0x35     1    1     36  OFDM
 37   37 0x44     2    1     39  HT
 38   38 0x84     3    1     39  VHT
 39   39 0x36     1    1     48  OFDM
 40   40 0x45     2    1     52  HT
 41   41 0x85     3    1     52  VHT
 42   42 0xc4     4    1     52  HE
 43   43 0x37     1    1     54  OFDM
 44   44 0x46     2    1     58  HT
 45   45 0x86     3    1     58  VHT
 46   46 0x47     2    1     65  HT
 47   47 0x87     3    1     65  VHT
 48   48 0xc5     4    1     69  HE
 49   49 0xc6     4    1     77  HE
 50   50 0x88     3    1     78  VHT
 51   51 0xc7     4    1     86  HE
 52   52 0x89     3    1     87  VHT
 53   53 0xc8     4    1    103  HE
 54   54 0xc9     4    1    115  HE
 55   55 0xca     4    1    129  HE
 56   56 0xcb     4    1    143  HE
